,ProductName,ProductLink,PackSize,Price,Review,Rating,Discount
10,Onion Scalp Serum with Onion & Niacinamide for Healthy Hair Growth,https://mamaearth.in/product/onion-scalp-serum-with-onion-niacinamide-for-healthy-hair-growth-50ml,50ml,₹599.00,Very very good Product....I love it...very good quality,5,N/A
11,Vitamin C Body Lotion with Vitamin C & Honey for Radiant Skin – 400 ml,https://mamaearth.in/product/vitamin-c-body-lotion-with-vitamin-c-honey-for-radiant-skin-400-ml,400ml,₹399.00,"Okayish product. To be very honest, it's not moisturizing at all especially for dry skin people. But the ingredients are quite impressive.",4.8,N/A
12,Ubtan Body Lotion with Turmeric & Kokum Butter for Glowing Skin ,https://mamaearth.in/product/ubtan-body-lotion-with-turmeric-kokum-butter-for-glowing-skin-400-ml,400ml,₹399.00,This lotion is really awesome...and also improves skin texture and enhance its suppleness...,5,N/A
13,Vitamin C Foaming Face Wash with Vitamin C & Turmeric for Skin Illumination,https://mamaearth.in/product/vitamin-c-foaming-face-wash-with-vitamin-c-turmeric-for-skin-illumination-150ml,150ml,₹399.00,Mamaearth vitaminC foaming facewash is an amazing product. It makes my skin so clear and soft. Love it. MUST TRY!,5,N/A
14,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination,https://mamaearth.in/product/vitamin-c-face-wash-with-vitamin-c-and-turmeric-for-skin-illumination-100ml,100ml,₹249.00,Very good product with good customer service,4.9,N/A
15,Vitamin C Face Cream with Vitamin C & SPF 20 for Skin Illumination,https://mamaearth.in/product/vitamin-c-face-cream-with-vitamin-c-spf-20-for-skin-illumination-50g,50g,₹599.00,I really love this product vitamin c is really important and it's the best face cream i found till now. It's chemical free what u want more. Thank u soo much mamaearth for opening all the products thank u!!!,5,N/A
16,Vitamin C Face Mask With Vitamin C & Kaolin Clay for Skin Illumination ,https://mamaearth.in/product/vitamin-c-face-mask-with-vitamin-c-kaolin-clay-for-skin-illumination-100-g,100g,₹499.00,good...must try,4.9,N/A
17,Vitamin C Sleeping Mask with Aloe Vera for Skin Illumination ,https://mamaearth.in/product/vitamin-c-sleeping-mask-with-aloe-vera-for-skin-illumination-100-g,100g,₹599.00,Was looking for a face mask from a long time and someone recommended me this and I am happy I used this . It's really good and effective . Gave me glowing skin . Loved it,5,N/A
18,"Onion Hair Mask, For Hair Fall Control, With Onion Oil and Organic Bamboo",https://mamaearth.in/product/tn-onion-hair-mask-for-hair-fall-control-with-onion-oil-organic-bamboo-vinegar-200ml,200ml,₹599.00,"Best hair mask for softening hair, hair fall reduction part yet to be observed. ",5,N/A
19,Hairfall Control Kit,https://mamaearth.in/product/tn-hairfall-control-kit,Kit,₹999.00,N/A,4.9,(28% off)
20,Argan Conditioner with Argan & Apple Cider Vinegar for Frizz-Free and Stronger Hair,https://mamaearth.in/product/argan-conditioner-with-argan-apple-cider-vinegar-for-frizz-free-and-stronger-hair,250ml,₹349.00,Doing this conditioner after mamaearth argan shampoo gave me unpredictable result. I was not expecting that my scalp would feel so much nourish after the use of it.,5,N/A
21,Onion Hair Serum and Onion Hair Oil,https://mamaearth.in/product/onion-hair-serum-onion-hair-oil,Combo,₹679.00,Mamaearth onion hair oil and serum aee amazing. Thankyou for such an amazing product. It has really helped me fight my hairfall problem. Love it,5,(3% off)
22,Onion Hair Oil for Hair Regrowth & Hair Fall Control,https://mamaearth.in/product/onion-hair-oil-for-hair-regrowth-hair-fall-control-with-redensyl-250ml,250ml,₹599.00,N/A,5,N/A
23,Ubtan Face Scrub with Turmeric & Walnut for Tan Removal,https://mamaearth.in/product/ubtan-scrub-for-face-with-turmeric-walnut-for-tan-removal-100g,100g,₹349.00,This concept of ubtan is something I am in love with. The turmeric face scrub is now a part of my skin regime! Love the entire ubtan range.,5,N/A
24,"Vitamin C Face Toner with Vitamin C & Cucumber for Pore Tightening,",https://mamaearth.in/product/vitamin-c-face-toner-with-vitamin-c-cucumber-for-pore-tightening-200-ml,200ml,₹399.00,This is amazing,4.8,N/A
25,Aloe Vera Gel with Pure Aloe Vera & Vitamin E for Skin and Hair,https://mamaearth.in/product/aloe-vera-gel-for-face-with-pure-aloe-vera-vitamin-e-for-skin-and-hair-300ml,300ml,₹399.00,Started using this from last month and I have seen a change in my skin..it's glowing and clean..use it twice or thrice a day whenever I get time to wash my face,5,N/A
26,"Onion Hair Serum with Onion & Biotin for Strong, Frizz-Free Hair ",https://mamaearth.in/product/onion-hair-serum-with-onion-biotin-for-strong-frizz-free-hair-100-ml,100ml,₹299.00,N/A,4.9,N/A
27,Skin Correct Face Serum with Niacinamide and Ginger Extract for Acne Marks & Scars ,https://mamaearth.in/product/skin-correct-face-serum-with-niacinamide-and-ginger-extract-for-acne-marks-scars-30-ml,30ml,₹599.00,This is a great product for a person suffering form uneven skin and dull skin. My skin is much better now...  great product mamaearth...,5,N/A
28,Skin Illuminate Face Serum for Radiant Skin with Vitamin C & Turmeric ,https://mamaearth.in/product/skin-illuminate-face-serum-for-radiant-skin-with-vitamin-c-turmeric-30-gm,30gm,₹599.00,N/A,4.9,N/A
29,Bye Bye Dark Circles Eye Cream with Cucumber & Peptides for Dark Circles,https://mamaearth.in/product/bye-bye-dark-circles-eye-cream-with-cucumber-peptides-for-dark-circles-20ml,20ml,₹399.00,Hands down the best under eye cream for dark circles. I love it and does not feel sticky or look oily. I make sure to use this dark circle treatment every day.,5,N/A
30,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant,https://mamaearth.in/product/onion-shampoo-for-hair-growth-and-hair-fall-control-with-onion-oil-and-plant-keratin-400ml,400ml,₹559.00,Effective product.. It works,4.8,N/A
31,Onion Conditioner for Hair Growth and Hair Fall Control with Onion and Coconut,https://mamaearth.in/product/onion-conditioner-for-hair-growth-and-hair-fall-control-with-onion-and-coconut-400ml,400ml,₹559.00,super......product...,5,N/A
32,Tea Tree Shampoo for Dandruff Free Hair,https://mamaearth.in/product/tea-tree-shampoo-for-dandruff-free-hair-250ml,250ml,₹349.00,It really worked after first use only. Thanks!! mamaearth,4.9,N/A
33,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin,https://mamaearth.in/product/mamaearth-onion-shampoo-for-hair-growth-hair-fall-control-with-onion-oil-plant-keratin-250-ml,250ml,₹349.00,N/A,5,N/A
34,"Onion Hair Mask, For Hair Fall Control, With Onion Oil and Organic Bamboo",https://mamaearth.in/product/onion-hair-mask-for-hair-fall-control-with-onion-oil-organic-bamboo-vinegar-200ml,200ml,₹599.00,N/A,5,N/A
35,Tea Tree Conditioner with Tea Tree & Ginger Oil for Dandruff Free,https://mamaearth.in/product/mamaearth-tea-tree-conditioner-with-tea-tree-ginger-oil-for-dandruff-free-hair-250ml,250ml,₹349.00,This actually made my scalp itch-free with such smooth hair.,5,N/A
36,Bye Bye Blemishes Face Cream for Reducing Pigmentation & Blemishes with Mulberry Extract & Vitamin C,https://mamaearth.in/product/bye-bye-blemishes-face-cream-for-pigmentation-blemish-removal-with-mulberry-extract-vitamin-c-30ml,30ml,₹449.00,I liked the face cream. it shows amazing results in just a week.  Mamaearth bye bye blemish is a very good product.,4.9,N/A
37,"Hair Regrowth Combo : Onion Shampoo, 250ml and Onion Conditioner",https://mamaearth.in/product/hair-regrowth-combo-onion-shampoo-onion-conditioner,250ml,₹679.00,N/A,5,(3% off)
38,Oil-Free Face Moisturizer for Acne-Prone Skin,https://mamaearth.in/product/oil-free-face-moisturizer-with-apple-cider-vinegar-for-acne-prone-skin,80ml,₹299.00,Mamaearth oil free face moisturizer is too chemical free and best for skin.,5,N/A
39,"Ultra Light Indian Sunscreen with Carrot Seed, Turmeric & SPF 50 PA+++",https://mamaearth.in/product/mamaearths-ultra-light-indian-sunscreen,80ml,₹499.00,No doubt that it is the best sunscreen cream for face. For oily skin it works the best by keeping it nourished and creating a protective layer that isn’t sticky.,4.9,N/A
40,"Skin Lightening & Brightening Combo : Ubtan Facemask, 100ml and Ubtan",https://mamaearth.in/product/mamaearth-combos-skin-lightening-and-brightening-combo,100ml,₹724.00,It's  really effective and good.,4.8,(3% off)
41,Ubtan Face Mask with Saffron & Turmeric for Skin Brightening and Tan Removal,https://mamaearth.in/product/ubtan-face-mask-for-skin-lightening-brightening,100g,₹499.00,N/A,4.9,N/A
42,Ubtan Face Wash for Tan Removal,https://mamaearth.in/product/ubtan-face-wash,100ml,₹249.00,It is indeed a great product. I bought it to post review. I used it for 2 and a half month and still doing. My blackheads are completely gone which seemed  to me an impossible task. Just because of mamaearth ubtan face wash.,4.9,N/A
43,Tea Tree Facewash for acne & pimples,https://mamaearth.in/product/tea-tree-face-wash,100ml,₹249.00,"This tea tree infused anti acne face wash worked really well for me. It helped in controlling my breakouts. Great product! – Ritesh, 24
 I believe this to be the best face wash for acne and pimples for me. The face wash doesn’t dry out my face and at the same time has decreased my acne",4.9,N/A
44,Anti Hair Fall Kit for complete hair care,https://mamaearth.in/product/anti-hair-fall-kit,Kit,"₹1,199.00",Very nice it reduced hairfall very effective now hair looks more healthy,4.8,(25% off)
45,"Argan Hair Mask with Argan, Avocado Oil, and Milk Protein for Frizz-free & Stronger Hair",https://mamaearth.in/product/argan-hair-mask,200ml,₹599.00,Mamaearth onion hair mask is an awesome  product  it makes my hair look so good and has helped me reduce hair fall..worth buying product,4.8,N/A
46,Ubtan Bamboo Sheet Mask with Turmeric & Saffron for Skin Brightening ,https://mamaearth.in/product/ubtan-bamboo-sheet-mask-with-turmeric-saffron-for-skin-brightening-25-g,25g,₹149.00,It's amazing. Must try!,5,N/A
47,Niacinamide Bamboo Sheet Mask with Niacinamide & Ginger Extract for Clear & Glowing Skin ,https://mamaearth.in/product/niacinamide-bamboo-sheet-mask-with-niacinamide-ginger-extract-for-clear-glowing-skin-25-g,25g,₹149.00,This niacinamide sheet mask helped me reduce acne marks and improves skin texture,5,N/A
48,Onion Shampoo and Onion Hair Serum,https://mamaearth.in/product/onion-shampoo-onion-hair-serum,Combo,₹634.00,I like all product. Very good quality and customer service,5,(2% off)
49,Onion Shampoo and Oil Combo,https://mamaearth.in/product/onion-shampoo-oil-combo,Combo,₹924.00,It's really good...Must buy,5,(3% off)
50,Onion Shampoo for Hair Growth & Hair Fall Control (250 ml) - Pack,https://mamaearth.in/product/onion-shampoo-for-hair-growth-hair-fall-control-250-ml-pack-of-2,2,₹679.00,After the postpartum I had severe hairfall one of my friend had recommended the shampoo and conditioner. It had worked very well for me. My hairfall is also stop and I can new hair growth also.,5,(3% off)
51,Spotless Skin Combo: Ubtan Facewash - 100ml and Bye Bye Blemishes Face Cream,https://mamaearth.in/product/spotless-skin-combo,30ml,₹679.00,V useful combo .both products gives good effect on skin ...I had hyper pigmentation and bye bye blemishes cream worked well fr me . It's hydrating n gives moisturising effect. Clearing my black spots .ubtan face wash also cleans the blackness on face . Overall I m happy with the results,5,(3% off)
52,Anti Acne Kit,https://mamaearth.in/product/anti-acne-kit,Kit,₹849.00,I have dry skin .can i use this kit,5,(26% off)
53,Onion Scalp Serum with Onion & Niacinamide for Healthy Hair Growth,https://mamaearth.in/product/onion-scalp-serum-with-onion-niacinamide-for-healthy-hair-growth-50ml,50ml,₹599.00,Very very good Product....I love it...very good quality,5,N/A
54,Vitamin C Body Lotion with Vitamin C & Honey for Radiant Skin – 400 ml,https://mamaearth.in/product/vitamin-c-body-lotion-with-vitamin-c-honey-for-radiant-skin-400-ml,400ml,₹399.00,"Okayish product. To be very honest, it's not moisturizing at all especially for dry skin people. But the ingredients are quite impressive.",4.8,N/A
55,Ubtan Body Lotion with Turmeric & Kokum Butter for Glowing Skin ,https://mamaearth.in/product/ubtan-body-lotion-with-turmeric-kokum-butter-for-glowing-skin-400-ml,400ml,₹399.00,This lotion is really awesome...and also improves skin texture and enhance its suppleness...,5,N/A
56,Vitamin C Foaming Face Wash with Vitamin C & Turmeric for Skin Illumination,https://mamaearth.in/product/vitamin-c-foaming-face-wash-with-vitamin-c-turmeric-for-skin-illumination-150ml,150ml,₹399.00,Mamaearth vitaminC foaming facewash is an amazing product. It makes my skin so clear and soft. Love it. MUST TRY!,5,N/A
57,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination,https://mamaearth.in/product/vitamin-c-face-wash-with-vitamin-c-and-turmeric-for-skin-illumination-100ml,100ml,₹249.00,Very good product with good customer service,4.9,N/A
58,Vitamin C Face Cream with Vitamin C & SPF 20 for Skin Illumination,https://mamaearth.in/product/vitamin-c-face-cream-with-vitamin-c-spf-20-for-skin-illumination-50g,50g,₹599.00,I really love this product vitamin c is really important and it's the best face cream i found till now. It's chemical free what u want more. Thank u soo much mamaearth for opening all the products thank u!!!,5,N/A
59,Vitamin C Face Mask With Vitamin C & Kaolin Clay for Skin Illumination ,https://mamaearth.in/product/vitamin-c-face-mask-with-vitamin-c-kaolin-clay-for-skin-illumination-100-g,100g,₹499.00,good...must try,4.9,N/A
60,Vitamin C Sleeping Mask with Aloe Vera for Skin Illumination ,https://mamaearth.in/product/vitamin-c-sleeping-mask-with-aloe-vera-for-skin-illumination-100-g,100g,₹599.00,Was looking for a face mask from a long time and someone recommended me this and I am happy I used this . It's really good and effective . Gave me glowing skin . Loved it,5,N/A
61,"Onion Hair Mask, For Hair Fall Control, With Onion Oil and Organic Bamboo Vinegar",https://mamaearth.in/product/tn-onion-hair-mask-for-hair-fall-control-with-onion-oil-organic-bamboo-vinegar-200ml,200ml,₹599.00,"Best hair mask for softening hair, hair fall reduction part yet to be observed. ",5,N/A
62,Hairfall Control Kit,https://mamaearth.in/product/tn-hairfall-control-kit,Kit,₹999.00,N/A,4.9,(28% off)
63,Argan Conditioner with Argan & Apple Cider Vinegar for Frizz-Free and Stronger Hair,https://mamaearth.in/product/argan-conditioner-with-argan-apple-cider-vinegar-for-frizz-free-and-stronger-hair,250ml,₹349.00,Doing this conditioner after mamaearth argan shampoo gave me unpredictable result. I was not expecting that my scalp would feel so much nourish after the use of it.,5,N/A
64,Onion Hair Serum and Onion Hair,https://mamaearth.in/product/onion-hair-serum-onion-hair-oil,Combo,₹679.00,Mamaearth onion hair oil and serum aee amazing. Thankyou for such an amazing product. It has really helped me fight my hairfall problem. Love it,5,(3% off)
65,Onion Hair Oil for Hair Regrowth & Hair Fall,https://mamaearth.in/product/onion-hair-oil-for-hair-regrowth-hair-fall-control-with-redensyl-250ml,250ml,₹599.00,N/A,5,N/A
66,Ubtan Face Scrub with Turmeric & Walnut for Tan Removal,https://mamaearth.in/product/ubtan-scrub-for-face-with-turmeric-walnut-for-tan-removal-100g,100g,₹349.00,This concept of ubtan is something I am in love with. The turmeric face scrub is now a part of my skin regime! Love the entire ubtan range.,5,N/A
67,"Vitamin C Face Toner with Vitamin C & Cucumber for Pore Tightening,",https://mamaearth.in/product/vitamin-c-face-toner-with-vitamin-c-cucumber-for-pore-tightening-200-ml,200ml,₹399.00,This is amazing,4.8,N/A
68,Aloe Vera Gel with Pure Aloe Vera & Vitamin E for Skin and Hair,https://mamaearth.in/product/aloe-vera-gel-for-face-with-pure-aloe-vera-vitamin-e-for-skin-and-hair-300ml,300ml,₹399.00,Started using this from last month and I have seen a change in my skin..it's glowing and clean..use it twice or thrice a day whenever I get time to wash my face,5,N/A
69,"Onion Hair Serum with Onion & Biotin for Strong, Frizz-Free Hair ",https://mamaearth.in/product/onion-hair-serum-with-onion-biotin-for-strong-frizz-free-hair-100-ml,100ml,₹299.00,N/A,4.9,N/A
70,Skin Correct Face Serum with Niacinamide and Ginger Extract for Acne Marks & Scars ,https://mamaearth.in/product/skin-correct-face-serum-with-niacinamide-and-ginger-extract-for-acne-marks-scars-30-ml,30ml,₹599.00,This is a great product for a person suffering form uneven skin and dull skin. My skin is much better now...  great product mamaearth...,5,N/A
71,Skin Illuminate Face Serum for Radiant Skin with Vitamin C & Turmeric ,https://mamaearth.in/product/skin-illuminate-face-serum-for-radiant-skin-with-vitamin-c-turmeric-30-gm,30gm,₹599.00,N/A,4.9,N/A
72,Bye Bye Dark Circles Eye Cream with Cucumber & Peptides for Dark Circles,https://mamaearth.in/product/bye-bye-dark-circles-eye-cream-with-cucumber-peptides-for-dark-circles-20ml,20ml,₹399.00,Hands down the best under eye cream for dark circles. I love it and does not feel sticky or look oily. I make sure to use this dark circle treatment every day.,5,N/A
73,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant,https://mamaearth.in/product/onion-shampoo-for-hair-growth-and-hair-fall-control-with-onion-oil-and-plant-keratin-400ml,400ml,₹559.00,Effective product.. It works,4.8,N/A
74,Onion Conditioner for Hair Growth and Hair Fall Control with Onion and,https://mamaearth.in/product/onion-conditioner-for-hair-growth-and-hair-fall-control-with-onion-and-coconut-400ml,400ml,₹559.00,super......product...,5,N/A
75,Tea Tree Shampoo for Dandruff Free Hair,https://mamaearth.in/product/tea-tree-shampoo-for-dandruff-free-hair-250ml,250ml,₹349.00,It really worked after first use only. Thanks!! mamaearth,4.9,N/A
76,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin,https://mamaearth.in/product/mamaearth-onion-shampoo-for-hair-growth-hair-fall-control-with-onion-oil-plant-keratin-250-ml,250ml,₹349.00,N/A,5,N/A
77,"Onion Hair Mask, For Hair Fall Control, With Onion Oil and Organic Bamboo",https://mamaearth.in/product/onion-hair-mask-for-hair-fall-control-with-onion-oil-organic-bamboo-vinegar-200ml,200ml,₹599.00,N/A,5,N/A
78,Tea Tree Conditioner with Tea Tree & Ginger Oil for Dandruff Free,https://mamaearth.in/product/mamaearth-tea-tree-conditioner-with-tea-tree-ginger-oil-for-dandruff-free-hair-250ml,250ml,₹349.00,This actually made my scalp itch-free with such smooth hair.,5,N/A
79,Bye Bye Blemishes Face Cream for Reducing Pigmentation & Blemishes with Mulberry Extract & Vitamin C,https://mamaearth.in/product/bye-bye-blemishes-face-cream-for-pigmentation-blemish-removal-with-mulberry-extract-vitamin-c-30ml,30ml,₹449.00,I liked the face cream. it shows amazing results in just a week.  Mamaearth bye bye blemish is a very good product.,4.9,N/A
80,"Hair Regrowth Combo : Onion Shampoo, 250ml and Onion",https://mamaearth.in/product/hair-regrowth-combo-onion-shampoo-onion-conditioner,250ml,₹679.00,N/A,5,(3% off)
81,Oil-Free Face Moisturizer for Acne-Prone Skin,https://mamaearth.in/product/oil-free-face-moisturizer-with-apple-cider-vinegar-for-acne-prone-skin,80ml,₹299.00,Mamaearth oil free face moisturizer is too chemical free and best for skin.,5,N/A
82,"Ultra Light Indian Sunscreen with Carrot Seed, Turmeric & SPF 50 PA+++",https://mamaearth.in/product/mamaearths-ultra-light-indian-sunscreen,80ml,₹499.00,No doubt that it is the best sunscreen cream for face. For oily skin it works the best by keeping it nourished and creating a protective layer that isn’t sticky.,4.9,N/A
83,"Skin Lightening & Brightening Combo : Ubtan Facemask, 100ml and Ubtan",https://mamaearth.in/product/mamaearth-combos-skin-lightening-and-brightening-combo,100ml,₹724.00,It's  really effective and good.,4.8,(3% off)
84,Ubtan Face Mask with Saffron & Turmeric for Skin Brightening and Tan Removal,https://mamaearth.in/product/ubtan-face-mask-for-skin-lightening-brightening,100g,₹499.00,N/A,4.9,N/A
85,Ubtan Face Wash for Tan Removal,https://mamaearth.in/product/ubtan-face-wash,100ml,₹249.00,It is indeed a great product. I bought it to post review. I used it for 2 and a half month and still doing. My blackheads are completely gone which seemed  to me an impossible task. Just because of mamaearth ubtan face wash.,4.9,N/A
86,Tea Tree Facewash for acne & pimples,https://mamaearth.in/product/tea-tree-face-wash,100ml,₹249.00,"This tea tree infused anti acne face wash worked really well for me. It helped in controlling my breakouts. Great product! – Ritesh, 24
 I believe this to be the best face wash for acne and pimples for me. The face wash doesn’t dry out my face and at the same time has decreased my acne",4.9,N/A
87,Anti Hair Fall Kit ,https://mamaearth.in/product/anti-hair-fall-kit,Kit,"₹1,199.00",Very nice it reduced hairfall very effective now hair looks more healthy,4.8,(25% off)
88,"Argan Hair Mask with Argan, Avocado Oil, and Milk Protein for Frizz-free & Stronger Hair",https://mamaearth.in/product/argan-hair-mask,200ml,₹599.00,Mamaearth onion hair mask is an awesome  product  it makes my hair look so good and has helped me reduce hair fall..worth buying product,4.8,N/A
89,Apple Cider Vinegar Foaming Face Wash with Apple Cider Vinegar & Aloe Vera Water for Deep Cleansing,https://mamaearth.in/product/apple-cider-vinegar-foaming-face-wash-with-apple-cider-vinegar-aloe-vera-water-for-deep-cleansing-150ml,150ml,₹399.00,It's safe and natural✌️,4.9,N/A
90,Ubtan Foaming Face Wash with Turmeric & Saffron for Tan Removal,https://mamaearth.in/product/ubtan-foaming-face-wash-with-turmeric-saffron-for-tan-removal-150ml,150ml,₹399.00,Supet product,5,N/A
91,Tea Tree Body Wash With Tea Tree & Neem For Skin Purification – Pack,https://mamaearth.in/product/tea-tree-body-wash-with-tea-tree-neem-for-skin-purification-pack-of-2,2,₹598.00,N/A,5,N/A
92,Charcoal Body Wash With Charcoal & Mint for Deep Cleansing – Pack,https://mamaearth.in/product/charcoal-body-wash-with-charcoal-mint-for-deep-cleansing-pack-of-2,2,₹598.00,N/A,5,N/A
93,CoCo Body Wash With Coffee & Cocoa For Skin Awakening ,https://mamaearth.in/product/coco-body-wash-with-coffee-cocoa-for-skin-awakening-pack-2,2,₹598.00,N/A,5,N/A
94,Vitamin C Body Wash with Vitamin C & Honey for Skin Illumination - Pack,https://mamaearth.in/product/vitaminc-body-wash-for-women-men-combo,2,₹598.00,N/A,5,N/A
95,"Vitamin C Face Scrub for Glowing Skin, With Vitamin C and Walnut For Skin Illumination ",https://mamaearth.in/product/vitamin-c-face-scrub-for-glowing-skin-with-vitamin-c-and-walnut-for-skin-illumination-100-g,100g,₹349.00,N/A,5,N/A
96,Rice Water Shampoo With Rice Water and Keratin For Damage Repair,https://mamaearth.in/product/rice-water-shampoo-with-rice-water-and-keratin-for-damage-repair-250ml,250ml,₹349.00,Loved it... Good product. Highly effective,4.5,N/A
97,Rice Hair Oil with Rice Bran & Coconut Oil For Damage Repair,https://mamaearth.in/product/rice-hair-oil-with-rice-bran-coconut-oil-for-damage-repair-150ml,150ml,₹399.00,It's very nice... Must try,5,N/A
98,"Rice Water Conditioner with Rice Water & Keratin for Damaged, Dry and Frizzy Hair ",https://mamaearth.in/product/rice-water-conditioner-with-rice-water-keratin-for-damaged-dry-and-frizzy-hair-250-ml,250ml,₹349.00,N/A,5,N/A
99,Tea Tree Body Wash With Tea Tree & Neem For Skin Purification – 300,https://mamaearth.in/product/tea-tree-body-wash-with-tea-tree-neem-for-skin-purification-300-ml,300ml,₹299.00,This is a must-buy body wash as tea tree is great for purifying skin! Thanks Mamaearth!,5,N/A
100,Ubtan Body Wash With Turmeric & Saffron for Glowing Skin ,https://mamaearth.in/product/ubtan-body-wash-with-turmeric-saffron-for-glowing-skin-300-ml,300ml,₹299.00,This is a must-buy body wash as it fights sunburn and ubtan is great for skin repair! Thanks Mamaearth!,5,N/A
101,CoCo Body Wash With Coffee & Cocoa For Skin Awakening – 300 ml,https://mamaearth.in/product/coco-body-wash-with-coffee-cocoa-for-skin-awakening-300-ml,300ml,₹299.00,N/A,5,N/A
102,Charcoal Body Wash With Charcoal & Mint for Deep Cleansing ,https://mamaearth.in/product/charcoal-body-wash-with-charcoal-mint-for-deep-cleansing-300-ml,300ml,₹299.00,I can use this everyday without drying out skin and is also very refreshing with the cooling mint ingredient.,5,N/A
103,Vitamin C Body Wash with Vitamin C & Honey for Skin Illumination,https://mamaearth.in/product/vitamin-c-body-wash-with-vitamin-c-honey-for-skin-illumination-300ml,300ml,₹299.00,This is a must-buy body wash as it fights sunburn and vitamin c is great for skin repair! Thanks Mamaearth!,5,N/A
104,"Retinol Night Cream For Women with Retinol & Bakuchi for Anti Aging, Fine Lines and Wrinkles ",https://mamaearth.in/product/retinol-night-cream-for-women-with-retinol-bakuchi-for-anti-aging-fine-lines-and-wrinkles-50-g,50g,₹699.00,Good product... very effective,5,N/A
105,Retinol Face Wash with Retinol & Bakuchi for Fine Lines and Wrinkles ,https://mamaearth.in/product/retinol-face-wash-with-retinol-bakuchi-for-fine-lines-and-wrinkles-100-ml,100ml,₹299.00,My oily and aging skin are a terrible combination. This is the best retinol face wash in india. Just love it!,4.8,N/A
106,Niacin Face Toner with Niacinamide & Witch Hazel for Acne and Open Pores ,https://mamaearth.in/product/niacin-toner-for-face-with-niacinamide-with-hazel-for-acne-and-open-pores-200-ml,200ml,₹399.00,Using it twice a day... doesn't dry out the skin... I can actually see the difference .. skin is much healthier now... loved it,5,N/A
107,Tea Tree Foaming Face Wash with Tea Tree & Salicylic Acid for Acne & Pimples,https://mamaearth.in/product/tea-tree-foaming-face-wash-with-tea-tree-salicylic-acid-for-acne-pimples-150ml,150ml,₹399.00,My skin has already started seeing improvement with Tea Tree Foaming Face Wash. It’s exfoliator is so good as it can be removed and washed as well. Comes with a cover too for easy travel. Love it!,4.9,N/A
108,Tea Tree Face Serum,https://mamaearth.in/product/tea-tree-face-serum,,₹599.00,Thank you Mamamearth natural tea tree face serum for preventing acne breakouts on my skin. I was so frustrated with them but this has been a game changer for me.,4.9,N/A
109,Retinol Face Serum,https://mamaearth.in/product/mamaearth-retinol-face-serum,,₹799.00,Love how hydrated and fresh my skin feels after every use of Mamaearth retinol face serum. Just started using it and already in love with it.,4.9,N/A
