,ProductName,Category,Ingredients
76,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin,Shampoo,Onion Seed Oil
77,"Onion Hair Mask, For Hair Fall Control, With Onion Oil and Organic Bamboo",Hair Mask,Onion Oil
78,Tea Tree Conditioner with Tea Tree & Ginger Oil for Dandruff Free,Conditioner,Tea Tree Oil
79,Bye Bye Blemishes Face Cream for Reducing Pigmentation & Blemishes with Mulberry Extract & Vitamin C,Face Cream,Vitamin C
80,"Hair Regrowth Combo : Onion Shampoo, 250ml and Onion",Hair Combo,Onion Seed Oil
81,Oil-Free Face Moisturizer for Acne-Prone,Face Mask,Apple Cider Vinegar
82,"Ultra Light Indian Sunscreen with Carrot Seed, Turmeric & SPF 50 PA+++",Skin Combo,Carrot Seed Oil
83,"Skin Lightening & Brightening Combo : Ubtan Facemask, 100ml and Ubtan",Skin Combo,Saffron
84,Ubtan Face Mask with Saffron & Turmeric for Skin Brightening and Tan Removal,Face Mask,Saffron
85,Ubtan Face Wash for Tan,Face Wash,Turmeric
86,Tea Tree Facewash for acne,Face Wash,Tea Tree Oil
87,Anti Hair Fall Kit,Hair Combo,Bhringraj Oil
88,"Argan Hair Mask with Argan, Avocado Oil, and Milk Protein for Frizz-free & Stronger Hair",Hair Mask,Argan Oil
89,Apple Cider Vinegar Foaming Face Wash with Apple Cider Vinegar & Aloe Vera Water for Deep Cleansing,Face Wash,Apple Cider Vinegar
90,Ubtan Foaming Face Wash with Turmeric & Saffron for Tan Removal,Face Wash,Turmeric
91,Tea Tree Body Wash With Tea Tree & Neem For Skin Purification – Pack,Body Wash,Neem
92,Charcoal Body Wash With Charcoal & Mint for Deep Cleansing – Pack,Body Wash,Charcoal
93,CoCo Body Wash With Coffee & Cocoa For Skin Awakening,Body Wash,Coffee
94,Vitamin C Body Wash with Vitamin C & Honey for Skin Illumination - Pack,Body Wash,Vitamin C
95,"Vitamin C Face Scrub for Glowing Skin, With Vitamin C and Walnut For Skin Illumination ",Face Scrub,Vitamin C
96,Rice Water Shampoo With Rice Water and Keratin For Damage Repair,Shampoo,Fermented Rice Water
97,Rice Hair Oil with Rice Bran & Coconut Oil For Damage Repair,Hair Oil,Rice Bran Oil
98,"Rice Water Conditioner with Rice Water & Keratin for Damaged, Dry and Frizzy Hair ",Conditioner,Fermented Rice Water
99,Tea Tree Body Wash With Tea Tree & Neem For Skin Purification – 300,Body Wash,Tea Tree Oil
100,Ubtan Body Wash With Turmeric & Saffron for Glowing Skin,Body Wash,Saffron
101,CoCo Body Wash With Coffee & Cocoa For Skin Awakening – 300 ml,Body Wash,Coffee
102,Charcoal Body Wash With Charcoal & Mint for Deep Cleansing,Body Wash,Charcoal
103,Vitamin C Body Wash with Vitamin C & Honey for Skin Illumination,Body Wash,Vitamin C
104,"Retinol Night Cream For Women with Retinol & Bakuchi for Anti Aging, Fine Lines and Wrinkles ",Face Cream,Retinol
105,Retinol Face Wash with Retinol & Bakuchi for Fine Lines and Wrinkles,Face Wash,Retinol
106,Niacin Face Toner with Niacinamide & Witch Hazel for Acne and Open Pores,Face Toner,Niacinamide
107,Tea Tree Foaming Face Wash with Tea Tree & Salicylic Acid for Acne & Pimples,Face Wash,Tea Tree Oil
108,Tea Tree Face Serum,Face Serum,Tea Tree Oil
109,Retinol Face Serum,Face Serum,Retinol
110,Complete Skin Glow Kit,Skin Combo,Cucumber Extract
111,Coco Intense Skin Awakening Kit,Skin Combo,Coffee
112,Vitamin C Radiance Combo,Skin Combo,Vitamin C
113,Vitamin C Clear Skin Combo,Skin Combo,Vitamin C
114,Vitamin C Skincare Regimen Kit,Skin Combo,Vitamin C
115,Vitamin C No Make Up Combo,Face Combo,Vitamin C
116,Vitamin C Overnight Skin Glow,Skin Combo,Vitamin C
117,Vitamin C Glowing Skin Glow Kit,Skin Combo,Vitamin C
118,Tea Tree Hair Oil with Tea Tree & Ginger Oil for Dandruff Free Hair,Hair Oil,Tea Tree Oil
119,Argan Hair Oil with Argan Oil & Avocado Oil for Frizz-Free & Stronger Hair,Hair Oil,Argan Oil
120,Ubtan Night Face Mask with Turmeric & Niacinamide for Glowing Skin,Face Mask,Turmeric
121,Essential Anti-Hair,Hair Gel,Onion
122,Anti Pollution Kit,Skin Combo,Coffee
123,Wedding Glow Skin,Skin Combo,Turmeric
124,Hyaluronic Bamboo Sheet Mask with Rosehip Oil for Soft & Plump Skin,Face Sheet Mask,Hyaluronic Acid
125,Retinol Bamboo Sheet Mask with Retinol & Bakuchi for Fine Lines & Wrinkles,Face Sheet Mask,Retinol
126,CoCo Bamboo Sheet Mask with Coffee & Cocoa for Skin Awakening,Face Sheet Mask,Coffee
127,Ubtan Bamboo Sheet Mask with Turmeric & Saffron for Skin Brightening,Face Sheet Mask,Turmeric
128,Rice Water Bamboo Sheet Mask with Rice Water & Coconut Milk for Deep Hydration - 25,Face Sheet Mask,Rice Water
129,Rose Water Bamboo Sheet Mask with Rose Water & Milk for Glowing Skin,Face Sheet Mask,Rose Water
130,Niacinamide Bamboo Sheet Mask with Niacinamide & Ginger Extract for Clear & Glowing Skin,Face Sheet Mask,Niacinamide
131,Charcoal Facial Regimen Kit,Face Combo,Charcoal
132,Charcoal Face Wash,Face Wash,Charcoal
133,CoCo Face Wash with Coffee & Cocoa for Skin Awakening – Pack,Face Wash,Coffee
134,Onion Shampoo and Onion Hair Serum,Hair Combo,Red Onion
135,Hair Fall Reduction,Hair Oil,Onion Seed Oil
136,Onion Shampoo,Shampoo,Onion Seed Oil
137,Onion Shampoo for Hair Growth & Hair Fall Control (250 ml) - Pack,Hair Combo,Onion Seed Oil
138,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination,Face Wash,Vitamin C
139,Spotless Skin Combo: Ubtan Facewash - 100ml and Bye Bye Blemishes Face Cream,Skin Combo,Walnut Beads
140,Hairfall Control Kit,Hair Combo,Onion Seed Oil
141,Skin Illuminate Face Serum for Radiant Skin with Vitamin C & Turmeric,Face Serum,Vitamin C
142,Onion Hair Oil for Hair Regrowth and Hair Fall Control with,Hair Oil,Onion Seed Oil
143,Ubtan Face Mask with Saffron & Turmeric for Skin Brightening and Tan Removal,Face Mask,Saffron
144,Onion Hair Oil for Hair Regrowth & Hair Fall,Hair Oil,Onion Seed Oil
145,Onion Hair Oil for Hair Regrowth and Hair Fall Control with,Hair Oil,Onion Seed Oil
146,Anti Acne Kit,Skin Combo,Turmeric
147,Onion Scalp Serum with Onion & Niacinamide for Healthy Hair Growth,Hair Serum,Red Onion
148,Vitamin C Body Lotion with Vitamin C & Honey for Radiant Skin – 400 ml,Body Lotion,Vitamin C
149,Ubtan Body Lotion with Turmeric & Kokum Butter for Glowing Skin,Body Lotion,Turmeric
150,CoCo Body Lotion With Coffee and Cocoa for Intense Moisturization,Body Lotion,Coffee
151,Rose Body Lotion with Rose Water and Milk For Deep Hydration,Body Lotion,Rose Water
152,Vitamin C Foaming Face Wash with Vitamin C & Turmeric for Skin Illumination,Face Wash,Vitamin C
153,Rose Face Toner with Witch Hazel & Rose Water for Pore Tightening,Face Toner,Rose Water
154,Ubtan Hand Cream with Turmeric and Honey for Deep Moisturization,Face Cream,Turmeric
155,Vitamin C Hand Cream with Vitamin C and Shea Butter for,Face Cream,Vitamin C
156,CoCo Hand Cream with Coffee & Cocoa for Rich Moisturization,Face Cream,Cocoa
157,Micellar Water Foaming Makeup Remover with Rose Water & Glycolic Acid for Makeup Cleansing,Face Combo,Rose Water
158,Vitamin C Face Milk with Vitamin C and Peach for Skin Illumination,Face Gel,Vitamin C
159,Argan Shampoo and Conditioner,Hair Combo,Argan Oil
160,Argan Hair Mask & Shampoo,Hair Combo,Argan Oil
161,Ubtan Face Scrub,Face Scrub,Turmeric
162,BhringAmla Shampoo and,Shampoo,Bhringraj Oil
163,Ubtan Body Scrub with Turmeric & Saffron for Tan Removal,Body Scrub,Turmeric
164,Neem Body Scrub with Neem & Tulsi for Skin Purification,Body Scrub,Neem
165,Hand Sanitizer with Lime & Neem for Killing Germs,Sanitizer,Lime
166,Vitamin C Night Regimen,Face Cream,Vitamin C
167,Vitamin C Day Regimen,Face Cream,Vitamin C
168,BhringAmla Conditioner with Bhringraj & Amla for Intense Hair Treatment,Conditioner,Bhringraj Oil
169,BhringAmla Shampoo with Bhringraj & Amla for Intense Hair Treatment,Shampoo,Bhringraj Oil
170,BhringAmla Hair Oil with Bhringraj & Amla for Intense Hair Treatment,Hair Oil,Bhringraj Oil
171,Tan Removal Regimen,Face Cream,Turmeric
172,BhringAmla Hair Mask with Bhringraj & Amla for Intense Hair Treatment,Hair Mask,Bhringraj Oil
173,HydraGel Indian Sunscreen with Aloe Vera & Raspberry for Sun Protection,Skin Combo,Aloe Vera
174,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination,Face Wash,Vitamin C
175,Vitamin C Face Cream with Vitamin C & SPF 20 for Skin Illumination,Face Cream,Vitamin C
176,Vitamin C Face Mask With Vitamin C & Kaolin Clay for Skin Illumination,Face Mask,Vitamin C
177,CoCo Face Wash with Coffee & Cocoa for Skin Awakening,Face Wash,Coffee
178,CoCo Face Scrub with Coffee & Cocoa for Rich Exfoliation,Face Scrub,Coffee
179,CoCo Face Mask with Coffee & Cocoa for Skin Awakening,Face Mask,Coffee
180,Vitamin C Sleeping Mask with Aloe Vera for Skin Illumination,Skin Combo,Vitamin C
181,Ubtan Yogurt with Turmeric and Saffron for Deep Moisturization,Skin Combo,Turmeric
182,"CoCo Yogurt, with Coffee and Cocoa for Rich Moisturization ",Skin Combo,Coffee
183,Hair Fall Control Regime Combo: Onion Shampoo 250ml and Onion Hair,Hair Combo,Red Onion
184,"Hair Regrowth Combo : Onion Shampoo, 250ml and Onion",Hair Combo,Red Onion
185,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin,Shampoo,Onion Seed Oil
186,"Onion Hair Serum with Onion & Biotin for Strong, Frizz-Free Hair ",Hair Serum,Onion Seed Extract
187,"Onion Hair Mask, For Hair Fall Control, With Onion Oil and Organic Bamboo",Hair Mask,Onion Oil
188,Onion Conditioner for Hair Growth and Hair Fall Control with Onion and,Conditioner,Onion Seed Oil
189,Hairfall Control Kit,Hair Combo,Onion Seed Oil
190,Argan Conditioner with Argan & Apple Cider Vinegar for Frizz-Free and Stronger Hair,Conditioner,Argan Oil
191,Argan Shampoo with Argan & Apple Cider Vinegar for Frizz-free & Stronger Hair,Shampoo,Argan Oil
192,Onion Hair Oil and Onion Hair Mask,Hair Combo,Onion Seed Oil
193,Onion Hair Serum and Onion Hair,Hair Combo,Onion Seed Extract
194,Onion Shampoo 400ml and Onion Conditioner,Hair Combo,Onion Seed Oil
195,Onion Hair Serum and Onion Hair Mask,Hair Combo,Onion Seed Oil
196,Ubtan Face Wash and Skin Illuminate Face,Face Wash,Turmeric
197,Skin Illuminate Face Serum and Bye Bye Dark Circles,Face Combo,Vitamin C
198,Bye Bye Blemishes 30g and Bye Bye Dark Circles,Face Combo,Vitamin C
199,Tea Tree Shampoo and Onion Hair Oil,Hair Combo,Tea Tree Oil
200,Skin Illuminate Face Serum and Bye Bye Blemishes,Skin Combo,Vitamin C
